iter	Passed	Remaining
405	18135	26533
406	18172	26477
407	18213	26427
408	18251	26372
409	18295	26327
410	18346	26291
411	18392	26250
412	18432	2413	1413	18508	26198
414	18546	26144
415	18593	26102
416	18639	26059
417	18691	26024
418	18737	25982
419	18784	25940
420	18833	25901
421	18877	25855
422	18913	25798
423	18957	25754
424	18989	25692
425	19036	25649
426	19068	25587
427	19107	25535
428	19150	25489
429	19191	25440
430	19236	25395
431	19285	25356
432	19325	25305
433	19357	25245
434	19408	25208
435	19467	25183
436	19513	25139
437	19557	25094
438	19599	25046
439	19648	25007
440	19696	24967
441	19728	24905
442	19774	24863
443	19836	24840
444	19864	24774
445	19897	24715
446	19941	2447	1447	19989	24630
448	20022	2449	2449	20070	2450	2450	20114	2451	2451	20144	2452	2452	20181	2453	2453	20240	2454	2454	20266	2455	2455	20300	2456	2456	20351	2457	2457	20401	24143
458	20446	24098
459	20491	24055
460	20526	23999
461	20581	23966
462	20626	23923
463	20680	23889
464	20726	23846
465	20764	23794
466	20801	23741
467	20838	23688
468	20877	23637
469	20902	23571
470	20948	23528
471	20983	23473
472	21025	23426
473	21063	23374
474	21091	23311
475	21142	23274
476	21178	23220
477	21223	23176
478	21256	23120
479	21301	23077
480	21338	481	21481	21376	22973
482	21404	483	21483	21435	484	21484	21473	485	21485	21509	486	21486	21563	487	21487	21605	488	21488	21649	489	21489	21702	4490	2490	21729	4491	2491	21779	4492	2492	21809	4493	2493	21851	4494	2494	21891	4495	2495	21940	4496	2496	21982	4497	2497	22027	2498	2498	22073	2499	2499	22112	2500	2500	22153	2501	2501	22193	5502	2502	22221	503	22291	21937
504	22332	21889
505	22505	22342	5506	2506	22388	507	22507	22434	508	22508	22479	509	22509	22523	510	22510	22575	511	22511	22618	512	22512	22659	513	22513	22705	514	22514	22734	515	22808	21394
516	22852	21349
517	22902	21311
518	22944	21264
519	22985	21217
520	23021	21165
521	23071	21126
522	23103	21071
523	23141	21021
524	23524	23144	525	23525	23179	526	23526	23214	5527	2527	23277	5528	2528	23319	5529	2529	23374	5530	2530	23426	5531	2531	23484	5532	2532	23542	5533	2533	23584	5534	2534	23641	535	23535	23694	20511
536	23730	537	23537	23773	538	23538	23816	539	23539	23852	540	23540	23905	541	23541	23964	20250
542	24015	20212
543	24090	20193
544	24125	20141
545	24173	20100
546	24203	20044
547	24244	19997
548	24305	19966
549	24343	19917
550	24381	1551	2551	24431	19828
552	24470	1553	2553	24509	1554	2554	24558	1555	2555	24604	1556	2556	24647	1557	2557	24684	1558	2558	24728	1559	2559	24773	1560	2560	24810	1561	24881	19391
562	24929	19350
563	24957	19293
564	25011	19256
565	25051	19208
566	25091	19161
567	25134	19116
568	25176	19070
569	25233	19035
570	25285	18997
571	25334	18956
572	25384	18916
573	25434	18876
574	25456	18815
575	25490	18764
576	25528	18715
577	25576	18673
578	25615	18625
579	25660	18581
580	25701	18535
581	25750	18494
582	25795	18450
583	25840	18407
584	25881	18360
585	25926	18316
586	25971	18273
587	26039	18245
588	26075	18195
589	26116	18148
590	26159	18103
591	26216	18068
592	26264	18026
593	26305	17979
594	26355	17939
595	26396	17892
596	26449	17854
597	26485	17804
598	26515	17751
599	26559	17706
600	26600	17659
601	26645	17616
602	26682	17567
603	26723	17520
604	26757	17469
605	26798	17423
606	26842	17379
607	26879	17330
608	26923	17285
609	26976	17247
610	27028	17207
611	27084	17171
612	27114	17118
613	27152	17070
614	27190	17021
615	27232	16976
616	27280	16934
617	27319	16886
618	27346	16832
619	27395	16791
620	27440	16747
621	27491	16707
622	27545	16668
623	27581	16619
624	27623	16574
625	27668	16530
626	27715	16487
627	27752	16439
628	27796	16394
629	27838	16349
630	27872	16299
631	27902	16247
632	27955	16208
633	27992	16159
634	28050	16123
635	28100	16082
636	28149	16041
637	28217	16010
638	28277	15975
639	28349	15946
640	28418	15915
641	28480	15881
642	28537	15844
643	28592	15805
644	28659	15774
645	28746	15752
646	28803	15715
647	28859	15676
648	28910	15635
649	28963	15595
650	29025	15560
651	29095	15529
652	29174	15502
653	29253	15476
654	29306	15436
655	29347	15389
656	29380	15338
657	29423	15293
658	29467	15247
659	29518	15206
660	29574	15167
661	29632	15129
662	29690	15091
663	29728	15043
664	29806	15015
665	29856	14973
666	29958	14956
667	30053	14936
668	30137	14911
669	30239	14893
670	30381	14896
671	30479	14876
672	30560	14848
673	30645	14822
674	30706	14784
675	30790	14757
676	30941	14762
677	31084	14762
678	31158	14730
679	31215	14689
680	31297	14660
681	31376	14629
682	31449	14596
683	31518	14561
684	31584	14524
685	31638	14481
686	31676	14432
687	31721	14385
688	31771	14340
689	31910	14336
690	32008	14313
691	32071	14274
692	32121	14229
693	32170	14184
694	32237	14147
695	32284	14101
696	32335	14056
697	32384	14011
698	32432	13965
699	32491	13925
700	32556	13886
701	32593	13835
702	32648	13792
703	32696	13747
704	32734	13697
705	32776	13648
706	32823	13602
707	32884	13562
708	32923	13513
709	32980	13471
710	33038	13429
711	33095	13387
712	33136	13338
713	33173	13287
714	33207	13236
715	33235	13182
716	33287	13138
717	33327	13089
718	33378	13045
719	33443	13005
720	33527	12973
721	33591	12934
722	33617	12879
723	33659	12831
724	33702	12783
725	33788	12751
726	33860	12715
727	33906	126687728	33983	12633
729	34049	12593
730	34118	12555
731	34194	12519
732	34264	12481
733	34360	12452
734	34401	12403
735	34479	12367
736	34534	12323
737	34626	12292
738	34712	12259
739	34778	12219
740	34850	12181
741	34972	12160
742	35069	12130
743	35156	12096
744	35218	12054
745	35277	12011
746	35335	11967
747	35380	11919
748	35438	11875
749	35497	11832
750	35561	11790
751	35626	11749
752	35687	11706
753	35765	11668
754	35848	11632
755	35908	11589
756	35999	11556
757	36028	11502
758	36034	11441
759	36041	1138760	36029	11315
761	36083	11270
762	36142	11226
763	36182	11176
764	36225	11127
765	36278	11082
766	36348	11042
767	36405	10997
768	36483	10959
769	36537	10913
770	36579	10864
771	36639	10821
772	36701	10777
773	36756	10732
774	36802	10684
775	36863	10641
776	36925	10597
777	36980	10552
778	37031	10505
779	37081	10458
780	37132	10412
781	37179	10364
782	37246	10322
783	37322	10282
784	37376	10236
785	37437	10192
786	37491	10146
787	37543	10100
788	37591	10052
789	37638	10005
790	37686	9957
791	37738	9911
792	37780	9862
793	37834	9816
79794	37897	97779795	37954	97279796	38009	96879797	38080	96379798	38139	95979799	38203	9550
800	38251	95080801	38311	94580802	38357	94180803	38405	936804	38449	9313
805	38505	9268
806	38551	9219
807	38601	9172
808	38646	9124
809	38695	9076
810	38753	9031
811	38803	8984
812	38845	8934
813	38910	8891
814	38973	8846
815	39036	8802
816	39096	8757
817	39140	8708
818	39181	8659
819	39241	8614
820	39289	8566
82821	39361	852822	39371	8467
82823	39447	84282824	39498	83782825	39549	83382826	39597	82882827	39665	82382828	39707	819829	39744	8140
830	39783	8090
831	39842	8045
832	39897	7998
833	39962	7954
834	39993	7902
835	40070	7860
836	40108	7810
837	40139	7759
838	40202	7714
839	40275	7671
840	40316	7622
841	40382	7577
842	40421	7528
843	40493	7484
844	40555	7439
845	40595	7389
846	40638	7340
847	40690	7293
848	40756	7248
849	40806	7201
850	40862	7154
851	40918	7107
852	40984	7062
853	41032	7014
854	41081	6967
855	41142	6921
856	41195	6873
857	41242	6825
858	41300	6779
859	41363	6733
860	41429	6688
861	41484	6641
862	41533	6593
863	41602	6548
864	41646	6499
865	41696	6451
866	41749	6404
867	41804	6357
868	41885	6314
869	41933	6265
870	42001	6220
871	42035	6170
872	42095	6123
873	42165	6078
874	42214	6030
875	42283	5985
876	42329	5936
87877	42408	58987878	42469	58487879	42521	5798
880	42564	57488881	42618	57088882	42669	56588883	42721	56088884	42803	55688885	42889	5518
886	42950	5471
887	43037	5428
888	43111	5382
889	43168	5335
890	43264	5292
891	43312	52489892	43419	5202
893	43472	5154
894	43526	5106
895	43585	5059
896	43632	5010
897	43682	4961
898	43752	4915
899	43817	4868
900	43882	4821
901	43933	4773
902	43991	4725
903	44070	4680
904	44130	4632
905	44184	4584
906	44245	4536
907	44293	4487
908	44353	4440
909	44390	43991910	44455	43491911	44516	42991912	44586	42491913	44635	41991914	44693	4151
915	44765	4105
916	44810	4055
917	44870	40091918	44937	3960
919	45006	3913
920	45060	3865
921	45153	3819
922	45469	3793
923	45594	3750
924	45701	3705
925	45795	3659
926	45868	3612
927	45927	3563
928	46001	3515
929	46047	3465
930	46101	3416
931	46164	3368
932	46206	3318
933	46286	3270
934	46350	3222
935	46398	3172
936	46465	3124
937	46526	3075
938	46584	3026
939	46626	2976
940	46673	2926
941	46743	2878
942	46808	2829
943	46866	2780
944	46928	2731
945	46989	2682
946	47039	2632
947	47109	2584
948	47155	2534
949	47229	2485
950	47283	2436
951	47361	2387
952	47431	2339
953	47477	2289
954	47565	2241
955	47655	2193
956	47724	2144
957	47784	2094
958	47836	2045
959	47894	1995
960	47948	1945
961	48038	1897
962	48092	1847
963	48158	1798
964	48328	1752
965	48396	1703
966	48463	1653
967	48537	1604
968	48617	1555
969	48655	1504
970	48709	1454
971	48750	1404
972	48791	1353
973	48841	1303
974	48878	1253
975	48914	1202
976	48942	1152
977	48957	1101
978	48972	1050
979	49056	1001
980	49135	951
981	49237	902
982	49263	851
983	49272	801
984	49281	750
985	49289	699
986	49295	649
987	49301	598
988	49308	548
989	49314	498
990	49320	447
991	49348	397
992	49356	347
993	49365	297
994	49374	248
995	49384	198
996	49391	148
997	49398	98
998	49406	49
999	49412	0
