iter	RMSE
173	3.738344023
174	3.736910974
175	3.733073675
176	3.730470352
177	3.728667519
178	3.727346041
179	3.725526743
180	3.722509079
181	3.72077428
182	3.718171122
183	3.71684341
184	3.715582967
185	3.713558316
186	3.711759284
187	3.710131498
188	3.707495792
189	3.706310679
190	3.705682119
191	3.704030196
192	3.700923274
193	3.699475083
194	3.697925523
195	3.696928689
196	3.695326859
197	3.693683485
198	3.692174693
199	3.690650624
200	3.68773698
201	3.686181543
202	3.683482902
203	3.681187216
204	3.680050682
205	3.679172032
206	3.677979106
207	3.676863
208	3.675967413
209	3.674000007
210	3.672177621
211	3.669377082
212	3.667570567
213	3.666467996
214	3.665754498
215	3.663433532
216	3.660817206
217	3.659261182
218	3.658061721
219	3.656157435
220	3.65371209
221	3.65290909
222	3.651712157
223	3.650705477
224	3.648404689
225	3.647866204
226	3.646661868
227	3.644283838
228	3.643243652
229	3.642155272
230	3.640115431
231	3.638728148
232	3.637365247
233	3.635860107
234	3.635196829
235	3.633904387
236	3.632601254
237	3.63065833
238	3.629500785
239	3.627557422
240	3.626174752
241	3.625746838
242	3.625061535
243	3.623062199
244	3.620808818
245	3.619397357
246	3.617410543
247	3.614787721
248	3.613511459
249	3.612221077
250	3.611204806
251	3.610438105
252	3.609099539
253	3.60639281
254	3.604764571
255	3.603942548
256	3.603418501
257	3.602241418
258	3.601441501
259	3.60072418
260	3.599024995
261	3.598246528
262	3.597603598
263	3.596466052
264	3.595448329
265	3.593923344
266	3.592860904
267	3.592045304
268	3.591431302
269	3.590788673
270	3.590349391
271	3.587550197
272	3.586120144
273	3.585017528
274	3.584164426
275	3.583464651
276	3.581436937
277	3.580045902
278	3.579529194
279	3.578702873
280	3.577821215
281	3.576191589
282	3.575649349
283	3.574340132
284	3.573150642
285	3.572324551
286	3.571112984
287	3.569626269
288	3.568711047
289	3.567054607
290	3.565788588
291	3.564560048
292	3.563034139
293	3.561985677
294	3.560399741
295	3.558690648
296	3.556976157
297	3.556003275
298	3.554942535
299	3.554065827
300	3.553465832
301	3.552430722
302	3.551505275
303	3.551071831
304	3.549243903
305	3.548477629
306	3.547325595
307	3.546499937
308	3.545744859
309	3.543582423
310	3.542575468
311	3.54096959
312	3.540247855
313	3.538510973
314	3.537819984
315	3.536752556
316	3.534721802
317	3.534081817
318	3.533389721
319	3.532482062
320	3.531326141
321	3.530589476
322	3.529640055
323	3.528471427
324	3.527401336
325	3.525971489
326	3.525285068
327	3.524108979
328	3.52330488
329	3.522438131
330	3.521795048
331	3.52114888
332	3.52006059
333	3.519520939
334	3.518978969
335	3.51838773
336	3.517551948
337	3.517113197
338	3.516358173
339	3.515752199
340	3.515163989
341	3.513653712
342	3.513111998
343	3.512324874
344	3.511466301
345	3.510934623
346	3.51009007
347	3.509438581
348	3.50830534
349	3.507739065
350	3.506643842
351	3.505961307
352	3.50452718
353	3.503272903
354	3.502759505
355	3.502126739
356	3.501613299
357	3.500071869
358	3.498740276
359	3.497467345
360	3.496908082
361	3.496063708
362	3.495043591
363	3.49449551
364	3.493933519
365	3.492231369
366	3.490718267
367	3.490404936
368	3.489496085
369	3.488190215
370	3.487445705
371	3.486530198
372	3.485343377
373	3.484859829
374	3.484395087
375	3.483197884
376	3.482350155
377	3.480760619
378	3.480301578
379	3.478327368
380	3.477796838
381	3.47696385
382	3.476304528
383	3.47509023
384	3.473909373
385	3.473161439
386	3.472177032
387	3.471685164
388	3.470917817
389	3.470240997
390	3.469274535
391	3.468862355
392	3.466769231
393	3.466108255
394	3.465024453
395	3.463868087
396	3.463347543
397	3.461370819
398	3.461019729
399	3.460151984
400	3.459490932
401	3.459029301
402	3.458556226
403	3.457793763
404	3.45676207
405	3.455932543
406	3.455122778
407	3.454527763
408	3.453291759
409	3.452338691
410	3.450007616
411	3.449680605
412	3.448168352
413	3.447696365
414	3.447213275
415	3.446574608
416	3.44579697
417	3.444826244
418	3.443201645
419	3.442680786
420	3.441962414
421	3.440563719
422	3.439547819
423	3.438338656
424	3.437503189
425	3.436059172
426	3.435575481
427	3.4350896
428	3.433059795
429	3.43160362
430	3.430698174
431	3.43021642
432	3.429433041
433	3.428976981
434	3.428592886
435	3.427269777
436	3.426962454
437	3.425834635
438	3.425265402
439	3.424858996
440	3.424168956
441	3.42369509
442	3.423065447
443	3.422440553
444	3.421899238
445	3.421055951
446	3.420366464
447	3.419267472
448	3.417926978
449	3.417365743
450	3.41642239
451	3.416106762
452	3.415149396
453	3.414424161
454	3.413810833
455	3.413359996
456	3.411859879
457	3.411100342
458	3.409917346
459	3.408986711
460	3.408225762
461	3.407839821
462	3.407140023
463	3.406475187
464	3.405972344
465	3.405143986
466	3.404493067
467	3.403539695
